_id,ground_state.globular_volume,ground_state.homo_lumo_gap,ground_state.dipole_moment,ground_state.solvation_energy,cation1.globular_volume,cation1.homo_lumo_gap,cation1.dipole_moment,cation1.solvation_energy,cation2.globular_volume,cation2.homo_lumo_gap,cation2.dipole_moment,cation2.solvation_energy
06APBV,,,,,238.016,6.669242026000001,5.9473124922102425,-1.7198128347299644,,4.372055638000001,3.739844543560601,
06EHFA,,,,,335.032,7.54300008,6.793650342047345,-1.6835252355267585,,2.026977186,9.617945816545236,
06KFZW,,,,,236.048,6.609104832000001,13.658528006340948,-1.7192281705938512,,2.962233004,11.969162861704238,
06OGKO,,,,,271.744,7.362860612,4.3703211197805585,-1.6395736271551868,,4.228379446,4.786863203602125,
06SSJN,,,,,295.896,6.407740472,7.293513902091364,-1.6039555916613608,,3.2256393560000003,1.5517979604317051,
06GXWB,,,,,278.064,7.726949144,23.088785211223215,-1.8643700230168179,,4.159534604000001,13.629251715703251,
06XRJO,,,,,339.36,6.334813920000001,5.8029974831978,-1.6199112409522058,,1.7132297439999995,9.444971227589845,
06XPKV,,,,,314.608,7.384085504000001,10.463845016531923,-1.7989500078256242,,4.108105058,6.33432781990323,
06ABRM,,,,,291.896,7.4638149060000005,18.89900000105826,-1.7876899849288748,,4.625121658000003,9.739600000513366,
06LRER,,,,,215.84,7.129658914,8.06703271221829,-1.8343557671832968,,4.404437203999999,9.530716491953791,
06PMPA,,,,,275.208,7.002853790000001,9.379702503811087,-1.6852067639956658,,4.345932694,3.5559306362751224,
06GAFP,,,,,257.24,7.3552414200000005,0.24094962129042657,-1.5197085802465153,,4.55654893,0.7084489819316561,
06JXUS,,,,,265.872,7.153604946,2.5592482529055283,-1.5187450245721266,,4.432464946,2.5617561320313063,
06PRXH,,,,,248.824,7.95389222,3.248911537730752,-1.6337347682128893,,4.961454562000002,3.087437277095682,
06LFJJ,,,,,274.368,7.357690445999999,1.4198103957923396,-1.5072183299525932,,4.513282803999999,1.4811096920890094,
06YEJJ,,,,,308.712,7.153604946,3.828172308034214,-1.5480603555988637,,3.405506710000001,1.049163924274944,
06JANY,,,,,252.0,6.925845528000001,9.017200155813333,-1.6206640987547871,,4.443349506000001,7.79110000320879,
06NKRI,,,,,351.056,7.14843478,6.239956799529946,-1.5315792269575468,,1.746971880000002,8.226595672573195,
06LECG,,,,,288.184,7.44503904,4.60770267378441,-1.635076154176204,,4.67491852,3.614503447224805,
06ECNH,,,,,308.36,6.932920492000001,2.2323473878408797,-1.4423960403728415,,4.157901919999999,2.1442227006540153,
06XFNE,,,,,299.96,6.799312518,2.6318140701804906,-1.539876799164631,,4.173956646000002,2.3501613838202684,
06PNQL,,,,,325.168,6.9364579740000005,3.3534349702953836,-1.4344957546090882,,4.16198363,4.143464054387343,
06UAKW,,,,,360.072,6.780264538,5.383168823286151,-1.4767433578963391,,3.005227016000001,6.838840196261351,
06DUTA,,,,,402.84,7.334016528,10.896932266468392,-1.524189699171984,,1.6881952560000002,17.999785189273787,
06POAJ,,,,,303.192,6.636316232,7.482863548802691,-1.5149514288677892,,4.1236155560000025,6.131357218430516,
06UVHQGX,,,,,363.912,6.59332222,9.009200067708564,-1.452666983299423,,3.462378536000001,6.078000016452781,
06ILCG,,,,,339.408,7.271702422,4.482875551473629,-1.5754472691260162,,4.368518156,3.3797647107454094,
06RUIV,,,,,321.936,7.173741382000001,9.379985759051024,-1.7288482712538098,,4.493418481999999,13.048370524322184,
06AJQJ,,,,,330.44,7.668444634,12.69344660287347,-1.7495553303160705,,4.812336089999999,16.205457311350397,
06VDNM,,,,,313.144,7.693479121999999,12.454395265126283,-1.8643972344216309,,4.856962785999999,15.378630208831995,
06EZAG,,,,,339.4,6.365290688,8.18764197861631,-1.7067890777398134,,3.9274213620000005,11.748797529534672,
06NJSH,,,,,374.0,7.161224138,11.33323306651725,-2.0683093978004763,,2.73066399,15.827927373159127,
06KJLV,,,,,416.352,6.996867282,3.643205375764589,-1.7766037340261391,,2.316778595999999,11.005401683718773,
06JVNN,,,,,316.552,7.46272645,18.679700000267673,-1.8760837143781828,,4.860228154,21.10360002890502,
06CYGB,,,,,352.768,7.536469344,12.598090679940354,-1.8551973321882542,,4.750021984,16.440728458921765,
06FIXS,,,,,290.304,8.299477000000001,1.2818069199376325,-1.4931744992027234,,4.919276891999999,1.0658422866446986,
06FHCT,,,,,299.608,7.255103468,3.76092920965019,-1.491396968922345,,4.372871979999999,3.4152059469379004,
06NSJB,,,,,282.416,7.222449788,4.09577535760935,-1.5973533985270478,,4.425934209999999,3.389138990953307,
06VTVC,,,,,307.0,7.935932696,0.20456419530308817,-1.473183698617504,,4.801995758000002,0.8371873744867394,
06INFI,,,,,342.656,7.1612241380000015,2.8865232373913083,-1.522281907920842,,2.6620912620000006,3.5974839054539216,
06PUIG,,,,,385.752,7.1840817139999995,6.441868867029195,-1.5814092868677108,,2.1257545680000014,5.6698674984517945,
06ZJQR,,,,,285.04,7.6189198860000005,10.3357,-1.608919740152487,,4.8531531900000004,9.510800047314632,
06FPBK,,,,,321.728,7.582728724000001,5.424279946684168,-1.6182888972834917,,4.6806329139999985,3.9590268210761086,
06FIVU,,,,,345.272,7.356601990000001,2.626700232230545,-1.4577615016096388,,4.059668766,1.6229001786924544,
06ZFFJ,,,,,341.136,7.518237706,2.3109990069231965,-1.4261897468713869,,4.463758056000001,2.4433250622870464,
06YDNQ,,,,,350.272,6.938090657999999,3.2352080891342987,-1.4270879951836832,,4.159534603999997,2.466553672637188,
06BFVH,,,,,333.104,7.558782692,3.5992418007130333,-1.5276060904434416,,4.505935726000001,2.5749549491204693,
06AMXO,,,,,359.08,5.966371564,2.9686928722924506,-1.4019634374526504,,3.4816986300000003,3.12562348020359,
06UQJN,,,,,393.68,6.911423486,3.8147960495942637,-1.4598039892953238,,3.044139318000001,5.18773255767874,
06KRZZ,,,,,435.992,7.356329876,9.20922826354087,-1.534055736468872,,2.2999075280000003,14.636815256400553,
06MYCW,,,,,336.472,6.772645346,10.23530021543091,-1.5231567544324207,,4.132867431999999,7.3476001742065415,
06YPIK,,,,,396.448,7.006935500000001,6.389442884947012,-1.4343020094383974,,3.7236079759999985,4.229992739946488,
06TGCL,,,,,373.144,6.779720310000001,4.836753277768053,-1.548974386518239,,4.053954372,3.6850789096028866,
06KQEI,,,,,341.752,7.985457444,5.733322475668014,-1.5607601880910806,,3.7889153360000005,6.078671224042307,
06WHLU,,,,,350.84,7.162312594000001,6.970775441082577,-1.5752472653330187,,3.2920351720000003,6.974586306011275,
06LUAB,,,,,333.856,7.2741514480000005,8.131817307342805,-1.6573418822226813,,3.3042803020000022,6.5681694748232555,
06GKBO,,,,,350.216,8.351995002,4.94941391883928,-3.5661247196403565,,3.675443798,3.2221236801215434,
06AFZW,,,,,393.72,7.180544232000001,2.5106511446236413,-1.4835872971161734,,,,
06QVVA,,,,,436.76,7.178911547999999,3.3241813924634136,-1.7544231776628294,,1.7733669380000006,6.023548403557491,
06LBIO,,,,,336.68,7.604225730000001,14.440647084185667,-1.7046399213613768,,3.769323128,14.663642667836665,
06UVHP,,,,,397.288,6.802577886,3.3091557745140983,-1.5299440939270426,,3.267000683999999,6.404509814185626,
06XGON,,,,,373.72,7.005847044,7.373514308659067,-1.685139960012748,,3.2664564559999985,6.705431593864783,
06CCMV,,,,,393.104,7.098637918000001,0.20573174281087497,-1.4875563519235584,,3.9581702439999997,0.5444913314277832,
