_id,smiles
05RGZA,CC(=O)NC1=C(S(C)(=O)=O)CCc2ccccc21
05LCSU,N#CC1=C(N)Oc2ccccc2C1C(C#N)C#N
05KUSN,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(NCc2ccccc2)C1=O
05DIYS,CC1=CC2=C3C(=O)c4ccccc4C(=O)C3=C3C=C(C)SC3(C)C2(C)S1
05EVXG,CCCCCCCCNC1=C(Cl)C(=O)c2ccccc2C1=O
05FQQB,CNC1=C(Cl)C(=O)c2ccccc2C1=O
05FXJG,CC1(C)CC(=O)C2=C(C1)OC1=C(C(=O)CC(C)(C)C1)C2C=Cc1ccc(Cl)cc1
05TIDJ,CCN1C(=O)C2(C)CCC(=O)C3(C)c4ccccc4C=C1C23
05GFJZ,CC(C)=CCCC(C)C1=C(O)C(=O)C(C)=C(Nc2ccccc2)C1=O
05NOUN,CNC1=C([N+](=O)[O-])C(c2ccc(Cl)cc2)C2=C(CCCC2=O)O1
05XPWB,CCCC(=O)N(C(=O)CCC)C1=C(Cl)C(=O)c2ccccc2C1=O
05HPRF,COc1ccc2c(c1)N(C)C(=O)C21C=CN(S(=O)(=O)C(F)(F)F)C=C1
05OBPI,CC(C)=NNC1=NS(=O)(=O)c2ccccc21
05KEAP,CCCNC1=C(Cl)C(=O)c2ccccc2C1=O
05WHNI,CCN(CC)c1ccc(C=C2[NH+]=C(C)C=C2C)c(O[B-](F)(F)F)c1
05UOEV,O=C1C=CC(=O)CCc2ccc(cc2)CC1
05DZKF,CCN1C(=O)C(=C2C(C(=O)OCCCCCl)=CN(C3CC3)c3cc(Cl)c(F)cc32)C(=O)N(CC)C1=S
05UJSA,CCCCNC1=C(Cl)C(=O)c2ccccc2C1=O
05LQGK,CCCCCCNC1=C(Cl)C(=O)c2ccccc2C1=O
05XERR,CCNC1=C(Cl)C(=O)c2ccccc2C1=O
05DRXD,CC(C)(C)C1=CC2=CC=C3C=C(C(C)(C)C)C=C4c5ccccc5C(=C1)C2(C)C34C
05TNKC,Cn1cnc2c1NS(=O)(=O)N=C2N
05COQJ,CN1c2c(ncn2C)C(N)=NS1(=O)=O
05AUDA,COc1ccc(C2C(C(C)=O)=CN3C=CC=CC23)cc1
05YYPX,CC1CCC(C(C)C)C(OC(=O)N2C=Cc3ccccc3C2C#N)C1
